Name,Town,MIDAS Number,Latitude,Longitude,Elevation,Notes,Name Change
Little Moose Pond,T7 R10 WELS,4152,46.2737984884,-68.9939450454,822, , 
Little Mosquito Pond,The Forks Plt,7066,45.304813203,-69.8759026223,1120,Named changed from unammed pond on 1/21/05 per LURC request,Yes - unnamed pond to local name / Delorme name
Little Moxie Pond,East Moxie Twp,0316,45.3091604509,-69.7243303337,1301, , 
Little Mtn Catcher Pd,T6 R8 WELS,9922,46.21126214400001,-68.76675981050001,797, , 
Little Mucalsea Pond,Russell Pond Twp,4034,46.0933179747,-69.7371851632,1528, , 
Little Muckleberry Pd,T7 SD BPP,4398,44.5367925131,-68.0722100325,251,Muckleberry Pond, 
Little Mud Pond,Westmanland,1780,46.9296467582,-68.2367193302,825, , 
Little Mud Pond,T6 R8 WELS,2180,46.16360926560001,-68.7035173844,645, , 
Little Mud Pond,Adamstown Twp,3304,44.95774558,-70.81779464349999,1505, , 
Little Mud Pond,Greenville,0400,45.5130545991,-69.51157622069999,1062, , 
Little Mud Pond,T4 R12 WELS,0738,45.9431440062,-69.24572957780001,1027, , 
Little Munsungan Lake,T8 R9 WELS,4180,46.38143086060001,-68.9460758955,811,Part of / connected to Munsungan Lake, 
Little Murphy Pond,Rainbow Twp,0640,45.79748136730001,-69.1734918344,1000,"Murphy Pond #2, Murphy Ponds", 
Little Musquash Lake,T37 MD BPP,1128,45.0574116893,-67.8114278132,257,Musquash Lake, 
Little Nesowadnehunk L,T5 R11 WELS,2728,46.0690360163,-69.1026914747,1439,"Little Nesourdnahunk Lake, Little Nesowadnehunk Lake, Little Sourdnahunk Lake", 
Little Northwest Pond,Massachusetts Gore,3344,45.3010511129,-70.7955151267,2128, , 
LIttle Notch Pond,Moosehead Junction Twp,0326,45.4428692658,-69.70480864859999,1605, , 
Little Ordway Pond,Shirley,0354,45.3036202722,-69.64417307710001,1270, , 
Little Ossipee Lake,Waterboro,5024,43.6113335466,-70.6991765857,311,Little Ossipee Pond, 
Little Otter Pond,Sandwich Academy Grant Twp,4112,45.6073207536,-69.93277216280001,1512, , 
Little Palmer Pond,Mayfield Twp,0268,45.17748663350001,-69.7368898804,1276, , 
Little Papoose Pond,Albany Twp,3268,44.2617457726,-70.7973275072,550, , 
Little Pennesseewassee,Norway,0367,44.2243164878,-70.6164656237,544, , 
Little Penobscot Pond,T1 R11 WELS,0560,45.6796897466,-69.1784192265,1254, , 
Little Pickerel Pond,Brookton Twp,1080,45.5164432027,-67.74852878670001,468, , 
Little Pickerel Pond,T34 MD BPP,4780,45.0169030454,-68.1727669811,372, , 
Little Pickerel Pond,T32 MD BPP,8273,44.9715811064,-68.45003832419999,265, ,Yes - unnamed pond to local name
Little Pillsbury Pond,T8 R11 WELS,2800,46.3283751868,-69.1525221191,1070, , 
Little Pine Pond,T3 R13 WELS,9716,45.871607413,-69.4439127837,1147, , 
Little Pleasant Pond,T10 R11 WELS,1943,46.5164997351,-69.1082748611,1243, , 
Little Pleasant Pond,TA R11 WELS,0510,45.6354502156,-69.1676699512,1295, , 
Little Pond,T4 R13 WELS,2904,45.9615590068,-69.440952723,998, , 
Little Pond,Kingsbury Plt,0302,45.1195794914,-69.5999024831,1045, , 
Little Pond,Otisfield,3436,44.153594106,-70.5872357902,435,"Farwell Pond, Rich Pond", 
Little Pond,Franklin,4402,44.576291781,-68.1700588993,238, , 
Little Pond,Orland,0445,44.5452386792,-68.7034261634,135, , 
Little Pond,Great Pond,4596,44.9293255911,-68.2769980054,371, , 
Little Pond,Searsmont,4882,44.3883733267,-69.19708596140001,205, , 
Little Pond,Rome,5344,44.6081506315,-69.8534562266,254,Part of North Lake, 
Little Pond,Smithfield,5350,44.6658125398,-69.8138927653,285, , 
Little Pond,Fryeburg,5580,44.0968014249,-70.8641624385,375, , 
Little Pond,Cape Elizabeth,5646,43.5624165004,-70.24775380129999,21, , 
Little Pond,Damariscotta,5706,44.0411722554,-69.4731372689,109, , 
Little Pond,Stoneham,6707,44.2515810419,-70.91692073740001,495, , 
Little Pond,Liberty,7665,44.3932169846,-69.3198206017,509, , 
Little Pond,Bristol,7871,43.9725956583,-69.49583802780001,83, , 
Little Pond,Gouldsboro,8495,44.4491996265,-68.0702189152,55, , 
Little Poverty Pond,Shapleigh,9697,43.6094498091,-70.83277945810001,448, , 
Little Presley Lake,T12 R17 WELS,1876,46.7041964754,-69.9074974813,1207, , 
Little Purgatory Pond,Litchfield,5250,44.2141306614,-69.9471603472,176, , 
LIttle Pushaw Pond,Hudson,2156,45.017944072,-68.9384296874,145, , 
Little Ragged Pond,T9 R10 WELS,2744,46.46346983079999,-69.0473366441,1490,Ragged Pond #2, 
Little Reddington Pond,Carrabassett Valley,8615,45.0683685224,-70.2486785787,1410, ,Yes - unnamed pond to local name
Little Reed Pond,T8 R10 WELS,2838,46.34232514499999,-69.080864177,1245, , 
Little River Lake,T43 MD BPP,1118,45.1585682452,-67.8193854629,234, , 
Little Rocky Pond,Ellsworth,4326,44.648415281,-68.5419792326,226, , 
Little Rocky Pond,TA R11 WELS,0524,45.656702721,-69.1768039751,1386, , 
Little Rocky Pond,T3 R10 WELS,0710,45.9033144849,-69.0608726418,1095, , 
Little Round Pond,Lincoln,2224,45.31409380989999,-68.44704621930001,374, , 
LIttle Round Pond,Eagle Lake Twp,2874,46.3297276758,-69.4530042344,988,Round Pond, 
Little Round Pond,T7 SD BPP,4382,44.5533253919,-68.07363107250001,309,Big Muckleberry Pond, 
Little Round Pond,Mount Desert,4618,44.3676120721,-68.36444585549999,70, , 
Little Sabattus Pond,Greene,3790,44.2109229098,-70.1353471847,261, , 
Little Saddleback Pond,Sandy River Plt,3552,44.9060626797,-70.5041815094,1930, , 
Little Saint John Lake,T5 R20 WELS,5168,46.0993406002,-70.253086787,1605,"Little Lake Saint John, Saint John Pond", 
Little Salmon Strm Lk,T1 R6 WELS,3048,45.75159404800001,-68.46022681140001,401, , 
Little Sawtelle Pond,T7 R8 WELS,5778,46.2949923628,-68.714910326,787, , 
Little Scott Deadwater,T6 R14 WELS,4010,46.1480245159,-69.52342106720001,978, , 
Little Scott Pond,T5 R14 WELS,4030,46.1232178359,-69.5193403796,1006, , 
Little Seavey Lake,Wesley,1246,44.9377968532,-67.6331697394,207, , 
Little Sebago Lake,Gray,3714,43.915021688,-70.39745298520001,285,Upper Bay, 
Little Sebago Lake,Gray,3714,43.8721251091,-70.4186685455,285, , 
Little Shallow Lake,T7 R14 WELS,2868,46.25248507889999,-69.4892486772,1097, , 
Little Smith Pond,T1 R8 WELS,2112,45.7091468031,-68.7445899347,485, , 
Little Soldier Pond,Soldiertown Twp T2 R7 WELS,2308,45.7975097776,-68.6370930837,446, , 
Little Spencer Pond,East Middlesex Canal Grant Twp,2950,45.7736915715,-69.5715977891,1071, , 
Little Swift River Pd,Township E,3572,44.8505635497,-70.58917880209999,2412, , 
Little Tea Pond,Jim Pond Twp,2348,45.2386365395,-70.5398107426,1450, , 
Little Togus Pond,Augusta,5428,44.3087448011,-69.66573687259999,181, , 
Little Tomah Lake,Codyville Plt,1320,45.47824827100001,-67.7258351178,489, , 
Little Trafton Lake,Limestone,9753,46.8867379302,-67.8496866894,585,"Trafton Pond, Private Pond",Yes - name change to local name
Little Trickey Pond,Alder Brook Twp,8376,45.8076754206,-70.1256760979,1375,feature drawn from DOQ data,Yes - unnamed pond to local name
Little Tunk Pond,Sullivan,4386,44.5657943944,-68.1053299588,233, , 
Little Turner Pond,Forsyth Twp,2640,45.64425761489999,-70.46343363779999,1486, , 
Little Viles Pond,Jim Pond Twp,8687,45.2821719741,-70.5409326818,1395, , 
Little Wadleigh Pond,T8 R15 WELS,2974,46.3651776663,-69.650478716,1287, , 
Little Wassataquoik Lk,T4 R10 WELS,4214,46.0296838354,-68.9644294993,1592, , 
Little Watchic Pond,Standish,3398,43.7740512294,-70.6067097052,303,Little Watchie Pond, 
Little Webb Pond,Waltham,4348,44.6889376985,-68.31860393,133, , 
Little Wilder Pond,T7 R9 NWP,0804,45.4424920825,-69.34747812889999,1275, , 
Little Wilson Deadwater,Shirley,9602,45.368799508,-69.5464333402,1120,missing 24k lake/pond data - this feature is in the rivers layer, 
Little Wilson Hill Pd,Johnson Mountain Twp,0162,45.4369473828,-70.0068617101,1155, , 
Little Wilson Pond,Turner,3784,44.2043728287,-70.2879291439,294,"French Pond, Ramsdell Pond", 
Little Wilson Pond,Elliottsville Twp,0900,45.37604503829999,-69.49098810629999,927, , 
Littlefield Pond,Sanford,3840,43.4838704645,-70.7921941367,530, , 
Littlefield Pond,Trout Brook Twp,9790,46.1462995484,-68.8289735382,995, , 
Lizzies Bog,Prentiss Twp T4 R4 NBKP,2472,45.8866724746,-70.2481850683,2015, , 
Lloyd Pond,Bowdoin College Grant East Twp,0462,45.5000092194,-69.3503272551,1150, , 
Lobster  Lake,Lobster Twp,2948,45.8603117116,-69.5131437424,964, , 
Locke Pond,Chesterville,5202,44.5792386185,-70.1188480711,346, , 
Log Landing Pond,Caratunk,0214,45.2151832645,-69.94749789070001,1031, , 
Logan Lake,Houlton,9777,46.1852108093,-67.8491357911,405,Jordan Pond, 
Logan Pond #1,T2 R9 WELS,2080,45.815354434,-68.8315594244,552,Logan Ponds, 
Logan Pond #2,T2 R9 WELS,2082,45.8184184359,-68.83650173869999,572,Logan Ponds, 
Lombard Lake,Lakeville,4690,45.3402131422,-68.134193873,470, , 
Lombard Pond,Stoneham,6759,44.2852633735,-70.83627840769999,805, , 
Lone Jack Pond,Johnson Mountain Twp,2556,45.5015071225,-70.0255918478,1585,Chain Ponds (US-M120), 
Lone Pond,Waterboro,0133,43.6220080076,-70.6885340198,335, , 
Long Bog,Holeb Twp,2668,45.5998518106,-70.3977428109,1255, , 
Long Bog,Wellington,0310,45.04886935039999,-69.53151049890001,565, , 
Long Bog,Shawtown Twp,0450,45.6631670455,-69.26191177920001,1307, , 
Long Cove Pond,Phillips,2338,44.8666519735,-70.38580016740001,765, ,Yes - unnamed pond to local name
Long Lake,Berry Twp,1264,44.8904309058,-67.5599957777,170, , 
Long Lake,Princeton,1286,45.2162345924,-67.608975675,202, , 
Long Lake,Marion Twp,1370,44.8162147061,-67.2985747915,117, , 
Long Lake,Saint Agatha,1682,47.20808526110001,-68.2389915135,581, , 
Long Lake,Oakfield,1752,46.1103593925,-68.1285915892,558, , 
Long Lake,T11 R13 WELS,1892,46.65238138929999,-69.37756292730001,818,Part of / connected to Harvey Pond, 
Long Lake,Harrison,5780,44.0371785914,-70.6554165682,268, , 
Long Lake (east),Littleton,1048,46.2259287975,-67.86583975400001,395,"mapped and numbered as one pond on 15' maps, but are two separate ponds at the 1:24K scale", 
Long Lake (west),Littleton,1048,46.2299620183,-67.8681797778,395,"mapped and numbered as one pond on 15' maps, but are two separate ponds at the 1:24K scale", 
Long Logan,Rangeley,0015,45.021937161,-70.6657545291,1690, , 
Long Pond,T18 MD BPP,1200,44.7643008381,-67.9291195899,226, , 
Long Pond,T13 R8 WELS,1596,46.8185783993,-68.74244032759999,770, , 
Long Pond,T11 R10 WELS,1922,46.61475536960001,-69.0809222796,1238, , 
Long Pond,Long Pond Twp,2536,45.6284758561,-70.098926502,1158, , 
Long Pond,Long Pond Twp,2536,45.6127650052,-70.0544161,1158,formerly part of Long Pond - should fall under midas 2536 until re-numbered, 
Long Pond,Forsyth Twp,2646,45.61067535619999,-70.475380231,1380, , 
Long Pond,Attean Twp,2690,45.6061188808,-70.3422170787,1236, , 
Long Pond,Denmark,3084,44.0005758324,-70.85677879399999,401, , 
Long Pond,Lynchtown Twp,3116,45.1355528508,-71.0203862584,1550, , 
Long Pond,Magalloway Plt,3320,44.8579281178,-70.9779426401,1310, , 
Long Pond,Seven Ponds Twp,3356,45.25528876149999,-70.77471977419999,1985, , 
Long Pond,Waterford,3418,44.1896504493,-70.68009409920001,537,McWain Pond, 
Long Pond,Sandy River Plt,3562,44.887372277,-70.60480927810001,1729, , 
Long Pond,Township E,3582,44.8432560742,-70.6739622588,2328, , 
Long Pond,Livermore,3816,44.43159973,-70.20706667819999,473, , 
Long Pond,The Forks Plt,4108,45.2704093804,-69.99428067780001,534,Martin Pond, 
Long Pond,Taunton & Raynham Academy Grant,4118,45.6419484999,-69.76083423439999,1022, , 
Long Pond,T4 R9 WELS,4188,46.0003823553,-68.9243176247,1331, , 
Long Pond,Trout Brook Twp,4230,46.13642455,-68.8392609637,910, , 
Long Pond,Bucksport,4316,44.6579845242,-68.6825937136,63, , 
Long Pond,Sullivan,4390,44.533878682,-68.1700728138,243, , 
Long Pond,T10 SD BPP,4430,44.6000943314,-68.0176961418,178, , 
Long Pond,Mount Desert,0447,44.299394622,-68.2569867003,10, , 
Long Pond,Great Pond,4598,44.9182374381,-68.2681398647,390, , 
Long Pond,Mount Desert,4622,44.3272048919,-68.3616680869,61,Great Pond, 
Long Pond,TA R11 WELS,0506,45.6694722633,-69.1368961224,1389, , 
Long Pond,Chain of Ponds Twp,5064,45.338804266,-70.67105840950001,1275,Chain of Ponds, 
Long Pond,King & Bartlett Twp,5124,45.31583938179999,-70.42105564809999,1623, , 
Long Pond,Mount Vernon,5272,44.5055696143,-69.9141697972,238, , 
Long Pond,Somerville,5444,44.2916941893,-69.51494133430001,178, , 
Long Pond,Vinalhaven,5510,44.0808869249,-68.8618665906,15, , 
Long Pond,Isle au Haut,5562,44.038338659,-68.6119381279,16, , 
Long Pond,Saco,5622,43.4776502354,-70.38648744690001,10,Ferry Beach Ponds, 
Long Pond,Chase Stream Twp,5794,45.4690651375,-69.9689473616,1190, , 
Long Pond,T7 R9 NWP,0800,45.4587211627,-69.3455079105,1111, , 
Long Pond,Parsonsfield,9701,43.7586185354,-70.8594443061,459, , 
Long Pond,Dole Brook Twp,9861,45.96308092699999,-70.1552660574,1491, , 
Longley Lake,Orient,1062,45.7893748027,-67.84435118419999,447,Longfellow Lake, 
Longley Pond,T6 R13 WELS,2886,46.1601427952,-69.4380323294,1001, , 
Loon Lake,Dallas Plt,2384,45.0255674662,-70.6458287808,1713, , 
Loon Lake,T6 R15 WELS,4024,46.1425197846,-69.63083725600001,1027, , 
Loon Pond,Attean Twp,2688,45.6065317197,-70.3935141467,1283, , 
Loon Pond,Sabattus,3806,44.1036571858,-70.05188136859999,348,Spear Pond, 
Loon Pond,T40 MD BPP,0453,45.03765212330001,-68.19901952390001,363, , 
Loon Pond,Litchfield,5246,44.1530655927,-69.9577772409,295, , 
Loon Pond,T1 R11 WELS,0554,45.6882320505,-69.12784311110001,1410, , 
Loon Pond,Acton,9695,43.5076453584,-70.8766577789,478, , 
Loon Stream Deadwater,Saint John Twp,2408,46.13931574219999,-69.7772170209,1493, , 
Lords Pond,Biddeford,5626,43.431199365,-70.37553456960001,15, , 
Lost Logan,Rangeley,2392,45.0157803873,-70.69355804510001,1630, , 
Lost Pond,T4 Indian Purchase Twp,1000,45.6111206886,-68.8920997778,520, , 
Lost Pond,T15 R6 WELS,1658,46.9260775446,-68.4437527629,775, , 
Lost Pond,Island Falls,1659,46.0216627695,-68.18344224800001,795, , 
Lost Pond,Chain of Ponds Twp,0017,45.37294360850001,-70.7407251007,1310, , 
Lost Pond,T11 R10 WELS,1924,46.59542447259999,-69.0461794181,1422, , 
Lost Pond,T10 R8 WELS,1984,46.5301663716,-68.76993419030001,1065, , 
Lost Pond,Pleasant Ridge Plt,0208,45.14501441819999,-69.9843696107,1254, , 
Lost Pond,Stetson,2272,44.8383037989,-69.1239385457,225, , 
Lost Pond,Russell Pond Twp,2420,46.1116260812,-69.7912815912,1968, , 
Lost Pond,Thorndike Twp,2526,45.7488476888,-70.08950525749999,1571, , 
Lost Pond,Attean Twp,2694,45.5840305671,-70.3563997815,1264, , 
Lost Pond,T6 R10 WELS,2722,46.150406743,-69.03002392000001,1047, , 
Lost Pond,T7 R13 WELS,2878,46.2176007665,-69.3472335733,972, , 
Lost Pond,T7 R7 WELS,3030,46.29111882630001,-68.6108323964,772, , 
Lost Pond,T2 R4 WELS,3042,45.7585864386,-68.22120899310001,511, , 
Lost Pond,Moro Plt,3630,46.20073976249999,-68.38710477159999,810, , 
Lost Pond,Bowdoin College Grant West Twp,0424,45.5307634002,-69.3979945578,1555, , 
Lost Pond,King & Bartlett Twp,5116,45.36467176259999,-70.4136744061,1460, , 
Lost Pond,T3 R5 BKP WKR,5146,45.3543256815,-70.2911286774,1262, , 
Lost Pond,Upper Molunkus Twp,6180,45.7436200448,-68.2951003782,464, , 
Lost Pond,T3 R10 WELS,0728,45.86896616159999,-69.01097276580001,1118, , 
Lost Pond,T7 R9 NWP,0820,45.42928610320001,-69.2832090412,1066, , 
Lost Pond,T13 R7 WELS,9523,46.7519371551,-68.6667651536,861, , 
Lost Pond,Crystal,9567,45.98541624759999,-68.37977521000001,480, , 
Lost Pond,Alton,9644,45.0663378582,-68.806748511,155, , 
Love Lake,T19 ED BPP,1238,44.9964756301,-67.5190897392,191, , 
Lovejoy Pond,T34 MD BPP,4506,44.9566224991,-68.126525426,385, , 
Lovejoy Pond,Albion,5176,44.5198546933,-69.4686071631,178, , 
Lovejoy Pond,Fayette,5664,44.3929784828,-70.02536824569999,302, , 
Lovewell Pond,Fryeburg,3254,44.0055727169,-70.9313897566,357,"Lovell Pond, Lovell's Pond, Lovewell's Pond", 
Lowell Pond,Carroll Plt,4680,45.3764780417,-68.0930268554,632, , 
Lower Allen Pond,T34 MD BPP,4504,44.9459503081,-68.1398633477,465, , 
Lower Bean Pond,Rainbow Twp,0646,45.8126459882,-69.18985638949999,1048, , 
Lower Black Pond,Oxbow Twp,7724,45.2604371025,-70.95656162429999,2200, , 
Lower Breakneck Pond,Bar Harbor,9655,44.3898227277,-68.25647104470001,250,split one feature into two - was part of midas # 9657 (Upper Breakneck Pond), 
Lower Chain Lake,Sakom Twp,4732,45.2108684278,-68.03310926819999,320, , 
Lower Cranberry Lake,T30 MD BPP,1174,44.9552877124,-67.9581372257,339, , 
Lower Deadwater,Bowdoin College Grant East Twp,0754,45.48978557720001,-69.3544667403,1150,missing 24k lake/pond data - this feature is in the rivers layer, 
Lower Deadwater,Cedar Lake Twp,0946,45.4485108763,-68.7562479289,375,missing 24k lake/pond data - this feature is in the rivers layer, 
Lower Deadwater Pond,T11 R9 WELS,1978,46.5768629328,-68.9428198211,1120, , 
Lower Deadwater Pond,T10 R11 WELS,2738,46.4834725227,-69.1513046252,1050, , 
Lower Doughty Pond,Monson,0376,45.31087758210001,-69.5555289043,1202,Doughty Ponds, 
Lower East Ragged Pond,T4 Indian Purchase Twp,0996,45.5949684541,-68.87765535299999,564, , 
Lower Elbow Pond,T10 R10 WELS,1952,46.523173531,-69.04948016749999,1119, , 
Lower Ellis Pond,T7 R14 WELS,2870,46.27250487849999,-69.49891083,1056, , 
Lower Enchanted Pond,Lower Enchanted Twp,0142,45.3587336216,-70.12527823070001,1065,half of this feature is in the river data layer, 
Lower First St John Pd,T4 R17 WELS,2428,46.0264434093,-69.9788879004,1831, , 
Lower Fowler Pond,Trout Brook Twp,4232,46.1325084139,-68.8612028055,867, , 
Lower Getchell Lake,T43 MD BPP,1120,45.12452750360001,-67.8768806396,299,Getchell Lakes, 
Lower Hadlock Pond,Mount Desert,4610,44.3104061435,-68.2894115519,189, , 
Lower Hathan Bog,Coburn Gore,8833,45.38288423099999,-70.74595628110001,1310, , 
Lower Hinkley Pond,South Portland,5639,43.6270999971,-70.2552833884,35, ,Yes - unnamed pond to local name
Lower Hot Brook Lake,T8 R4 NBPP,1072,45.6480286617,-67.9401199215,422,Hot Brook Lake, 
Lower Hudson Pond,T10 R10 WELS,1954,46.55710226090001,-69.0346908418,1180, , 
Lower Jo-Mary Lake,T1 R10 WELS,0984,45.6785899389,-68.9740521383,494,Jo-Mary Lake, 
Lower Kimball Pond,Fryeburg,3240,44.0972819331,-70.99500744149999,382,"Kimball Pond, Lower Kimball Lake", 
Lower La Pomkeag Lake,T8 R7 WELS,3010,46.3740968368,-68.5997128402,739, , 
Lower Lead Mtn Pond,T28 MD BPP,4484,44.8544392017,-68.1769901827,338, , 
Lower Macwahoc Lake,T2 R4 WELS,3058,45.821104037,-68.2704147473,509, , 
Lower Mason Pond,Belfast,5526,44.4525271987,-69.0074108036,158, , 
Lower Middle Branch Pd,Aurora,4494,44.8770531437,-68.2259368249,328, , 
Lower Morrison Pond,Great Pond,4594,44.923602112,-68.338388279,275, , 
Lower Mud Lake,Alexander,1294,45.0940960728,-67.5581224634,132, , 
Lower Mud Pond,Windham,3720,43.8529705537,-70.4372324731,290,Mud Ponds (South), 
Lower Narrows Pond,Winthrop,0103,44.2904635045,-69.9522398587,172, , 
Lower Oxbrook Lake,T6 R1 NBPP,1106,45.28190451680001,-67.8424269529,382, , 
Lower Oxhead Pond,T40 MD BPP,4768,45.07931661450001,-68.228393502,359, , 
Lower Paradise Pond,Parlin Pond Twp,9730,45.5665407803,-70.076386755,1660, , 
Lower Partridge Pond,T8 R11 WELS,2788,46.3701012065,-69.1674621304,1093, , 
Lower Patten Pond,Ellsworth,4344,44.5429239195,-68.5434968486,135, , 
Lower Penknife Lake,Robbinston,1442,45.0360279609,-67.20095707030001,360,Penknife Lakes, 
Lower Pistol Lake,T3 ND BPP,4756,45.1897910495,-68.21619899850001,318, , 
Lower Pond,Skowhegan,2299,44.7758172349,-69.71109584920001,153,Local name may be Lower Water Supply Pond,Yes - unnamed pond to local name
Lower Pond,Chain of Ponds Twp,5064,45.32175041240001,-70.63690079750001,1275,Chain of Ponds, 
Lower Pond,Bristol,5360,43.9939355459,-69.51265659400001,105, , 
Lower Pond (Sabao Lk),T35 MD BPP,8255,44.9876094931,-67.9988751068,343, , 
Lower Portage Pond,T9 R11 WELS,2760,46.4492978888,-69.1663841813,991, , 
Lower Pug Lake,Lakeville,4694,45.3096078875,-68.1127746112,398, , 
Lower Range Pond,Poland,3760,44.043731033,-70.3691480065,305, , 
Lower Russell Pond,T9 R14 WELS,2852,46.3995949419,-69.4951772694,1112, , 
Lower Sabao Lake,T35 MD BPP,4784,44.9981333451,-68.02193271180001,344,"Sabac Lake, Sabio Lake", 
Lower Sandy River Pond,Sandy River Plt,3564,44.8963999021,-70.5435108602,1701,"Sandy River Pond #1, Sandy River Ponds", 
Lower Shaw Pond-North,T3 R4 BKP WKR,5153,45.28552089740001,-70.2637118297,1235,separate ponds on DOQs - this pond was split off from midas #5154, 
Lower Shaw Pond-South,T3 R4 BKP WKR,5154,45.2806713562,-70.2634022764,1235,separate ponds on DOQs - midas #5153 was split off from this feature, 
Lower Shin Pond,Mount Chase,2198,46.1060903987,-68.5549635277,779,same feature as Lower Shin Pond on 15' USGS map, 
Lower Shin Pond,T5 R7 WELS,2198,46.0905694231,-68.5658262852,778, , 
Lower South Branch Pd,T5 R9 WELS,4222,46.10279995540001,-68.8962509828,981, , 
Lower Spectacle Lake,T19 ED BPP,1342,44.9538605068,-67.47447469719999,228,Spectacle Lakes, 
Lower Springy Pond,Otis,4540,44.7561918435,-68.48960814420001,277,"Grassy Pond, Spectacle Pond, Springy Pond", 
Lower Togue Pond,T2 R9 WELS,2084,45.81973379259999,-68.87176852090001,599, , 
Lower Togus Pond,Augusta,5430,44.3010856673,-69.6630042809,181, , 
Lower Unknown Lake,Oqiton Twp,4740,45.1731119657,-68.0562838721,358, , 
Lower Welman Pond,Prentiss Twp T4 R4 NBKP,9760,45.8755278866,-70.23173419059999,1650,Lower Wellman Pond, 
Lower West Bay Pond,Gouldsboro,4460,44.4913191925,-68.05871934699999,83,Little West Bay Pond (US-T121), 
Lower West Ragged Pond,T4 Indian Purchase Twp,0994,45.5836823843,-68.9087498159,720, , 
Lower Wilson Pond,Greenville,0342,45.4824976464,-69.5255551593,1121, , 
Lucia Pond,T7 R9 NWP,0810,45.40282080979999,-69.3201468307,1064, , 
Lucifee Pond,T14 R8 WELS,9755,46.8865433173,-68.7481094222,861, , 
Lucky Pond,Spencer Bay Twp,0402,45.70700545110001,-69.6078450478,1053, , 
Lufkin Pond,Phillips,2330,44.8402269503,-70.4631291115,913, , 
Lunksoos Lake,T4 R7 WELS,2206,46.0111936971,-68.6747252652,668, , 
Luther Pond,Thorndike Twp,2528,45.7287561856,-70.083661118,1524, , 
MacDougall Pond,Caratunk,0403,45.1720845728,-69.9843445427,495, , 
Maces Pond,Rockport,4820,44.1678407344,-69.1216015991,253, , 
Madawaska Lake,Madawaska Lake Twp,1802,47.0253862421,-68.21792364540001,577, , 
Mahar Pond,T5 R9 WELS,4226,46.0629432878,-68.924156232,1939, , 
Mainstream Pond,Harmony,5466,44.9853196571,-69.4955431138,304, , 
Malabeam Lake,Limestone,1849,46.9303750191,-67.9217370855,605,Loring Air Force Base Pond,Yes - unnamed pond to local name
Malcome Bog,Topsfield,7417,45.4586815601,-67.7442967323,540, , 
Manhancock Pond,Sangerville,0758,45.14779231350001,-69.3708267353,448, , 
Mann Bog,Dedham,4298,44.6761672619,-68.5837238968,215, , 
Mann Pond,Newfield,3904,43.6087054606,-70.8701787791,435, , 
Mansell Pond,Alton,9857,45.0404916634,-68.73479173200001,189,Hatch Pond, 
Mansfield Pond,Hope,4842,44.2518098227,-69.1991427322,363, , 
Mantle Lake,Presque Isle,0411,46.6712505033,-68.0012198294,540,Mantle Pond, 
Manton Pond,T7 R8 WELS,3034,46.26726092189999,-68.7496428012,770, , 
Maranacook Lake,Winthrop,5312,44.341146209,-69.9503468634,211, , 
Maranacook Lake-North,Readfield,5312,44.3811134279,-69.9686894598,211,Part of / connected to Maranacook Lake, 
Marble Pond,T5 R8 WELS,2186,46.11750793420001,-68.7094422895,708, , 
Marble Pond,Blanchard Twp,0280,45.23667296430001,-69.6813632889,1241, , 
Marcial Lake,Wallagrass,1636,47.1122789717,-68.6277060683,810, , 
Marcum Pond,Fort Kent,1650,47.2114027712,-68.6301634452,765, , 
Marden Pond,T1 R8 WELS,0980,45.6947548649,-68.79570432910001,568, , 
Mariner Pond,Sebago,8875,43.8965188958,-70.6961715983,421, , 
Markham Pond,Johnson Mountain Twp,0158,45.4690051037,-70.0705115574,1715, , 
Marks Lake,Marshfield,1282,44.7577500978,-67.50206414269999,135, , 
Marr Pond,Sangerville,0762,45.1483347495,-69.30119405089999,545, , 
Marshall Pond,Oxford,3776,44.1787562867,-70.41515542809999,343,"Mathews Pond, Mathew's Pond, Matthews Pond", 
Marston Pond,Baldwin,8922,43.824311016,-70.74648688649999,490, , 
Martin Bog,Dexter,2237,44.9970549729,-69.298221712,275, , 
Martin Lake,Caswell,1858,47.040902084,-67.89246096479999,798, , 
Martin Pond #1,Mount Katahdin Twp,2052,45.9175293422,-68.8275322487,1230,Martin Ponds, 
Martin Pond #2,Mount Katahdin Twp,2054,45.9195699338,-68.82535611829999,1230,Martin Ponds, 
Mary L. Pond,T12 R16 WELS,7003,46.710293011,-69.8005406474,1115, , 
Mary Petuche Pond,Prentiss Twp T4 R4 NBKP,2474,45.8798499055,-70.247658781,1800, , 
Massachusetts Bog,Massachusetts Gore,8597,45.3442945996,-70.7903460572,1676, , 
Massacre Pond,Scarborough,5642,43.5453006833,-70.31268941320001,10, , 
Matherson Pond,T9 R5 WELS,3072,46.3833670739,-68.35496647550001,805, , 
Mathews Millpond,Berwick,0143,43.2876869403,-70.82899728469999,185, , 
Mattamiscontis Lake,T2 R9 NWP,2140,45.4911237802,-68.6761071589,389, , 
Mattanawcook Pond,Lincoln,2226,45.3569407807,-68.4802316347,213, , 
Mattaseunk Lake,Molunkus Twp,3040,45.5974583688,-68.3806491555,324, , 
Mattawamkeag Lake,Island Falls,1686,45.979730098,-68.1672207292,430, , 
Matthews Pond,T8 R10 WELS,2836,46.31840208449999,-69.06187703409999,1081, , 
May Pond,T7 R11 WELS,2826,46.2876400112,-69.1003191966,1005, , 
